Name,Type,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
David Willey,All-Rounder ,3,0,0,,,0,0,0,0,,0,2,0,0,0,3,10,0,95,2,1/24 v RCB,0,0,47.5,9.5,30,3
Deepak Chahar,Bowler ,63,12,5,79,39 v PBKS,0,0,2,6,11.28,138.59,12,0,4,0,63,220.4,6,1722,59,4/13 v PBKS,3,0,29.18,7.8,22.44,63
Deepak Hooda,All-Rounder ,80,61,14,785,64 v RR,0,3,41,38,16.7,129.53,32,0,3,7,28,54.1,0,458,9,2/16 v KKR,0,0,50.88,8.45,36.11,28
Devdutt Padikkal,Batsman ,29,29,1,884,101* v RR,1,6,95,22,31.57,125.03,15,0,2,1,,,,,,,,,,,,
Devon Conway,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewald Brevis,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhruv Jurel,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinesh Karthik,Wicket-Keeper ,213,192,35,4046,97* v RR,0,19,399,112,25.77,129.72,123,32,14,12,,,,,,,,,,,,
Dominic Drakes,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dushmantha Chameera,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwaine Pretorius,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bravo,All-Rounder ,151,107,40,1537,70* v PBKS,0,5,119,65,22.94,130.25,77,0,8,2,148,485.3,2,4061,167,4/22 v PBKS,12,0,24.31,8.36,17.44,148
Evin Lewis,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian Allen,All-Rounder ,4,3,2,6,6 v SRH,0,0,0,0,6,50,2,0,2,0,3,11,1,90,1,1/22 v SRH,0,0,90,8.18,66,3
Faf du Plessis,Batsman ,100,93,9,2935,96 v PBKS,0,22,265,96,34.94,131.08,66,0,5,9,1,1,0,16,0,0/16 v DCH,0,0,,16,,1
Fazalhaq Farooqi,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finn Allen,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Maxwell,All-Rounder ,97,93,13,2018,95 v CSK,0,12,166,112,25.22,151.84,35,0,12,4,56,107,0,915,22,2/15 v RCB,0,0,41.59,8.55,29.18,56
Glenn Phillips,Wicket-Keeper ,3,3,1,26,14* v CSK,0,0,1,2,13,78.78,1,0,0,0,2,2,0,20,1,1/17 v KKR,0,0,20,10,12,2
Gurkeerat Singh Mann,All-Rounder ,41,32,8,511,65 v SRH,0,2,55,11,21.29,121.09,19,1,4,1,6,13,0,97,5,2/15 v RPS,0,0,19.4,7.46,15.6,6
Hardik Pandya,All-Rounder ,92,85,31,1476,91 v KKR,0,4,97,98,27.33,153.91,53,0,5,1,60,144.5,0,1313,42,3/20 v CSK,3,0,31.26,9.06,20.69,60
C.Hari Nishaanth,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harpreet Brar,All-Rounder ,10,6,6,84,25* v RCB,0,0,5,3,,120,2,0,0,0,10,32,1,228,5,3/19 v RCB,1,0,45.6,7.12,38.4,10
Harshal Patel,All-Rounder ,63,28,11,187,36* v CSK,0,0,11,11,11,134.53,15,0,9,3,61,210.4,0,1808,78,5/27 v MI,6,1,23.17,8.58,16.2,61
Hrithik Shokeen,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishan Kishan,Wicket-Keeper ,61,56,5,1452,99 v RCB,0,9,121,74,28.47,136.33,19,2,5,5,,,,,,,,,,,,
Ishan Porel,Bowler ,1,0,0,,,0,0,0,0,,0,,,0,0,1,4,0,39,1,1/39 v RR,0,0,39,9.75,24,1
Jagadeesha Suchith,Bowler ,17,8,6,68,34* v PBKS,0,0,6,3,34,128.3,9,0,2,1,16,52,0,462,12,2/14 v SRH,0,0,38.5,8.88,26,16
James Neesham,All-Rounder ,12,8,1,61,22 v CSK,0,0,3,2,8.71,92.42,1,0,2,0,12,33,0,305,8,3/12 v RR,1,0,38.12,9.24,24.75,12
Jason Behrendorff,Bowler ,5,0,0,,,0,0,0,0,,0,,,0,0,5,19,0,165,5,2/22 v CSK,0,0,33,8.68,22.8,5
Jason Holder,All-Rounder ,26,16,3,189,47* v PBKS,0,0,11,11,14.53,121.15,7,0,1,2,26,95.5,0,786,35,4/52 v MI,5,0,22.45,8.2,16.42,26
