Name,Type,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Sean Abbott,Bowler ,2,2,0,15,14 v SRH,0,0,1,1,7.5,115.38,,,0,1,2,5,0,57,0,0/21 v SRH,0,0,,11.4,,2
Shahbaz Ahmed,All-Rounder ,13,8,1,60,14 v SRH,0,0,4,2,8.57,111.11,5,0,0,0,8,20,0,136,9,3/7 v SRH,1,0,15.11,6.8,13.33,8
Shahbaz Nadeem,Bowler ,72,22,8,39,6 v PWI,0,0,2,0,2.78,44.82,16,0,9,2,70,235.5,2,1784,48,3/16 v DCH,1,0,37.16,7.56,29.47,70
Shahrukh Khan,All-Rounder ,11,10,3,153,47 v CSK,0,0,9,10,21.85,134.21,4,0,1,1,,,,,,,,,,,,
Shardul Thakur,Bowler ,61,14,6,53,15* v SRH,0,0,5,1,6.62,112.76,17,0,5,2,60,210,2,1867,67,3/19 v PBKS,5,0,27.86,8.89,18.8,60
Shashank Singh,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon Jackson,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherfane Rutherford,All-Rounder ,7,7,2,73,28* v RCB,0,0,2,7,14.6,135.18,5,0,0,0,6,6.5,0,59,1,1/6 v RCB,0,0,59,8.63,41,6
Shikhar Dhawan,Batsman ,192,191,25,5784,106* v PBKS,2,44,654,124,34.84,126.64,82,0,11,16,6,8,0,66,4,1/7 v DC,0,0,16.5,8.25,12,6
Shimron Hetmyer,Batsman ,31,29,9,517,75 v SRH,0,2,34,31,25.85,151.17,14,0,3,2,,,,,,,,,,,,
Shivam Dube,All-Rounder ,24,22,4,399,64* v CSK,0,1,24,22,22.16,120.54,5,0,0,1,11,15.4,0,130,4,2/15 v SRH,0,0,32.5,8.29,23.5,11
Shivam Mavi,All-Rounder ,26,9,2,48,20 v CSK,0,0,4,2,6.85,97.95,12,0,3,0,26,86.1,2,715,25,4/21 v RR,0,0,28.6,8.29,20.68,26
Shreyas Gopal,Bowler ,48,21,7,171,24 v PBKS,0,0,17,2,12.21,105.55,11,0,4,2,47,155.1,1,1247,48,4/16 v RCB,4,0,25.97,8.03,19.39,47
Shreyas Iyer,Batsman ,87,87,12,2375,96 v GL,0,16,196,88,31.66,123.95,34,0,6,4,,,,,,,,,,,,
Shubham Garhwal,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubman Gill,Batsman ,58,55,10,1417,76 v MI,0,10,137,36,31.48,123,23,0,2,6,,,,,,,,,,,,
Siddarth Kaul,Bowler ,54,12,8,20,7* v KKR,0,0,1,0,5,55.55,8,0,6,2,54,197.3,3,1696,58,4/29 v RPS,3,0,29.24,8.58,20.43,54
Simarjeet Singh,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.S. Bharat,Wicket-Keeper ,8,7,2,191,78* v DC,0,1,10,8,38.2,122.43,4,1,1,0,,,,,,,,,,,,
Subhranshu Senapati,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunil Narine,All-Rounder ,134,76,15,954,75 v PBKS,0,4,106,57,15.63,161.69,21,0,13,5,133,520.1,3,3508,143,5/19 v PBKS,6,1,24.53,6.74,21.82,133
Suryakumar Yadav,Batsman ,115,100,19,2341,82 v SRH,0,13,261,68,28.9,135.71,55,0,7,5,1,1,0,8,0,0/8 v DC,0,0,,8,,1
Suyash Prabhudessai,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Natarajan,Bowler ,24,4,4,3,3* v RCB,0,0,0,0,,60,3,0,3,0,24,83.3,1,688,20,2/24 v PBKS,0,0,34.4,8.23,25.05,24
Tejas Baroka,Bowler ,1,0,0,,,0,0,0,0,,0,,,0,0,1,3.3,0,33,0,0/33 v SRH,0,0,,9.42,,1
N. Tilak Varma,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim David,All-Rounder ,1,1,0,1,1 v CSK,0,0,0,0,1,33.33,,,0,0,,,,,,,,,,,,
Tim Seifert,Wicket-Keeper ,1,1,0,2,2 v PBKS,0,0,0,0,2,50,,,0,1,,,,,,,,,,,,
Tim Southee,Bowler ,43,15,6,118,36* v CSK,0,0,8,4,13.11,124.21,19,0,1,3,43,160,2,1388,31,3/24 v SRH,2,0,44.77,8.67,30.96,43
Trent Boult,Bowler ,62,10,7,13,6 v CSK,0,0,0,1,4.33,68.42,23,0,6,0,62,236.1,5,1983,76,4/18 v CSK,5,0,26.09,8.39,18.64,62
Tushar Deshpande,Bowler ,5,2,1,21,20* v SRH,0,0,2,1,21,175,1,0,0,0,5,17,0,192,3,2/37 v RR,0,0,64,11.29,34,5
Tymal Mills,Bowler ,5,3,0,8,6 v SRH,0,0,0,1,2.66,72.72,1,0,1,0,5,17.5,0,153,5,2/31 v KKR,0,0,30.6,8.57,21.4,5
Umesh Yadav,Bowler ,121,38,24,122,24* v RR,0,0,11,4,8.71,95.31,29,0,11,2,120,420.2,3,3579,119,4/24 v RR,12,0,30.07,8.51,21.19,120
Umran Malik,Bowler ,3,0,0,,,0,0,0,0,,0,,,0,0,3,12,0,96,2,1/21 v RCB,0,0,48,8,36,3
Vaibhav Arora,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Varun Aaron,Bowler ,50,13,8,50,17* v PBKS,0,0,2,2,10,69.44,3,0,5,2,48,160.4,2,1429,42,3/16 v KKR,1,0,34.02,8.89,22.95,48
Varun Chakravarthy,Bowler ,31,6,3,12,7* v RCB,0,0,0,0,4,63.15,4,0,2,2,31,123,0,839,36,5/20 v DC,1,1,23.3,6.82,20.5,31
Venkatesh Iyer,All-Rounder ,10,10,1,370,67 v PBKS,0,4,37,14,41.11,128.47,7,0,0,0,4,8.3,0,69,3,2/29 v DC,0,0,23,8.11,17,4
Vicky Ostwal,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vijay Shankar,All-Rounder ,47,39,12,712,63* v GL,0,3,45,28,26.37,126.24,21,0,3,1,20,38.1,0,329,9,2/19 v MI,0,0,36.55,8.62,25.44,20
Virat Kohli,Batsman ,207,199,31,6283,113 v PBKS,5,42,546,210,37.39,129.94,84,0,6,7,26,41.5,0,368,4,2/25 v DCH,0,0,92,8.79,62.75,26
Vishnu Vinod,Wicket-Keeper ,3,3,0,19,9 v DC,0,0,1,1,6.33,73.07,0,2,0,1,,,,,,,,,,,,
Wanindu Hasaranga,All-Rounder ,2,2,1,1,1* v CSK,0,0,0,0,1,50,,,1,0,2,6,0,60,0,0/20 v KKR,0,0,,10,,2
Washington Sundar,All-Rounder ,42,26,10,217,35 v RR,0,0,17,6,13.56,111.28,9,0,4,0,41,125,1,867,27,3/16 v MI,2,0,32.11,6.93,27.77,41
Wriddhiman Saha,Wicket-Keeper ,133,108,22,2110,115* v KKR,1,8,191,69,24.53,128.73,69,20,6,8,,,,,,,,,,,,
Writtick Chatterjee,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Dayal,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Dhull,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yashasvi Jaiswal,Batsman ,13,13,0,289,50 v CSK,0,1,34,12,22.23,136.32,4,0,2,0,,,,,,,,,,,,
Yuzvendra Chahal,Bowler ,114,18,12,32,8* v CSK,0,0,0,0,5.33,41.02,24,0,5,2,113,408,4,3097,139,4/25 v PBKS,9,0,22.28,7.59,17.61,113
