Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
Shardul Thakur,Bowler ,61,14,53,0,0,5,1,6.62,112.76,17,0,5,2,60,210,2,1867,67,5,0,27.86,8.89,18.8,60,BOWLER,2,10.75,1,1
Shashank Singh,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Sheldon Jackson,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,WICKETKEEPER,0.3,0.6,0,1
Sherfane Rutherford,All-Rounder ,7,7,73,0,0,2,7,14.6,135.18,5,0,0,0,6,6.5,0,59,1,0,0,59,8.63,41,6,ALL-ROUNDER,1,1,1,0
Shikhar Dhawan,Batsman ,192,191,5784,2,44,654,124,34.84,126.64,82,0,11,16,6,8,0,66,4,0,0,16.5,8.25,12,6,BATSMAN,2,8.25,1,1
Shimron Hetmyer,Batsman ,31,29,517,0,2,34,31,25.85,151.17,14,0,3,2,,,,,,,,,,,,BATSMAN,1.5,8.5,1,0
Shivam Dube,All-Rounder ,24,22,399,0,1,24,22,22.16,120.54,5,0,0,1,11,15.4,0,130,4,0,0,32.5,8.29,23.5,11,ALL-ROUNDER,0.5,4,1,1
Shivam Mavi,All-Rounder ,26,9,48,0,0,4,2,6.85,97.95,12,0,3,0,26,86.1,2,715,25,0,0,28.6,8.29,20.68,26,ALL-ROUNDER,0.4,7.25,0,1
Shreyas Gopal,Bowler ,48,21,171,0,0,17,2,12.21,105.55,11,0,4,2,47,155.1,1,1247,48,4,0,25.97,8.03,19.39,47,BOWLER,0.2,0.75,0,1
Shreyas Iyer,Batsman ,87,87,2375,0,16,196,88,31.66,123.95,34,0,6,4,,,,,,,,,,,,BATSMAN,2,12.25,1,1
Shubham Garhwal,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Siddarth Kaul,Bowler ,54,12,20,0,0,1,0,5,55.55,8,0,6,2,54,197.3,3,1696,58,3,0,29.24,8.58,20.43,54,,,,,
Simarjeet Singh,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.2,0,1
Subhranshu Senapati,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Suyash Prabhudessai,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.3,0,1
T. Natarajan,Bowler ,24,4,3,0,0,0,0,,60,3,0,3,0,24,83.3,1,688,20,0,0,34.4,8.23,25.05,24,BOWLER,1,4,1,1
Tejas Baroka,Bowler ,1,0,,0,0,0,0,,0,,,0,0,1,3.3,0,33,0,0,0,,9.42,,1,BOWLER,0.2,0.2,0,1
Tim David,All-Rounder ,1,1,1,0,0,0,0,1,33.33,,,0,0,,,,,,,,,,,,ALL-ROUNDER,0.4,8.25,0,0
Tim Seifert,Wicket-Keeper ,1,1,2,0,0,0,0,2,50,,,0,1,,,,,,,,,,,,WICKETKEEPER,0.5,0.5,1,0
Tim Southee,Bowler ,43,15,118,0,0,8,4,13.11,124.21,19,0,1,3,43,160,2,1388,31,2,0,44.77,8.67,30.96,43,BOWLER,1.5,1.5,1,0
Trent Boult,Bowler ,62,10,13,0,0,0,1,4.33,68.42,23,0,6,0,62,236.1,5,1983,76,5,0,26.09,8.39,18.64,62,BOWLER,2,8,1,0
Tushar Deshpande,Bowler ,5,2,21,0,0,2,1,21,175,1,0,0,0,5,17,0,192,3,0,0,64,11.29,34,5,BOWLER,0.2,0.2,0,1
Tymal Mills,Bowler ,5,3,8,0,0,0,1,2.66,72.72,1,0,1,0,5,17.5,0,153,5,0,0,30.6,8.57,21.4,5,BOWLER,1,1.5,1,0
Umesh Yadav,Bowler ,121,38,122,0,0,11,4,8.71,95.31,29,0,11,2,120,420.2,3,3579,119,12,0,30.07,8.51,21.19,120,BOWLER,2,2,1,1
Vaibhav Arora,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,2,0,1
Varun Aaron,Bowler ,50,13,50,0,0,2,2,10,69.44,3,0,5,2,48,160.4,2,1429,42,1,0,34.02,8.89,22.95,48,BOWLER,0.5,0.5,1,1
Vicky Ostwal,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Vijay Shankar,All-Rounder ,47,39,712,0,3,45,28,26.37,126.24,21,0,3,1,20,38.1,0,329,9,0,0,36.55,8.62,25.44,20,ALL-ROUNDER,0.5,1.4,1,1
Vishnu Vinod,Wicket-Keeper ,3,3,19,0,0,1,1,6.33,73.07,0,2,0,1,,,,,,,,,,,,WICKETKEEPER,0.2,0.5,0,1
Wanindu Hasaranga,All-Rounder ,2,2,1,0,0,0,0,1,50,,,1,0,2,6,0,60,0,0,0,,10,,2,ALL-ROUNDER,1,10.75,1,0
Washington Sundar,All-Rounder ,42,26,217,0,0,17,6,13.56,111.28,9,0,4,0,41,125,1,867,27,2,0,32.11,6.93,27.77,41,ALL-ROUNDER,1.5,8.75,1,1
Wriddhiman Saha,Wicket-Keeper ,133,108,2110,1,8,191,69,24.53,128.73,69,20,6,8,,,,,,,,,,,,WICKETKEEPER,1,1.9,1,1
Writtick Chatterjee,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Yash Dayal,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,3.2,0,1
Yash Dhull,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.5,0,1
Yuzvendra Chahal,Bowler ,114,18,32,0,0,0,0,5.33,41.02,24,0,5,2,113,408,4,3097,139,9,0,22.28,7.59,17.61,113,BOWLER,2,6.5,1,1
