Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
David Willey,All-Rounder ,3,0,,0,0,0,0,,0,2,0,0,0,3,10,0,95,2,0,0,47.5,9.5,30,3,ALL-ROUNDER,2,2,1,0
Deepak Chahar,Bowler ,63,12,79,0,0,2,6,11.28,138.59,12,0,4,0,63,220.4,6,1722,59,3,0,29.18,7.8,22.44,63,BOWLER,2,14,1,1
Deepak Hooda,All-Rounder ,80,61,785,0,3,41,38,16.7,129.53,32,0,3,7,28,54.1,0,458,9,0,0,50.88,8.45,36.11,28,ALL-ROUNDER,0.4,5.75,0,1
Devdutt Padikkal,Batsman ,29,29,884,1,6,95,22,31.57,125.03,15,0,2,1,,,,,,,,,,,,BATSMAN,2,7.75,1,1
Devon Conway,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,1,1,1,0
Dewald Brevis,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,3,0,0
Dhruv Jurel,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,WICKETKEEPER,0.2,0.2,0,1
Dinesh Karthik,Wicket-Keeper ,213,192,4046,0,19,399,112,25.77,129.72,123,32,14,12,,,,,,,,,,,,WICKETKEEPER,2,5.5,1,1
Dominic Drakes,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.75,1.1,1,0
Dushmantha Chameera,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwaine Pretorius,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.5,0.5,1,0
Dwayne Bravo,All-Rounder ,151,107,1537,0,5,119,65,22.94,130.25,77,0,8,2,148,485.3,2,4061,167,12,0,24.31,8.36,17.44,148,ALL-ROUNDER,2,4.4,1,0
Evin Lewis,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,2,2,1,0
Fabian Allen,All-Rounder ,4,3,6,0,0,0,0,6,50,2,0,2,0,3,11,1,90,1,0,0,90,8.18,66,3,ALL-ROUNDER,0.75,0.75,1,0
Faf du Plessis,Batsman ,100,93,2935,0,22,265,96,34.94,131.08,66,0,5,9,1,1,0,16,0,0,0,,16,,1,,,,,
Fazalhaq Farooqi,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.5,0.5,1,0
Finn Allen,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.5,0.8,1,0
